agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,spurious,5.0,58.65912964999998,1.0,15.0,1.0,0.0017547868281753377,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,38.18291657,1.0,15.0,1.0,0.001821939109471824,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,45.92210133,1.0,15.0,1.0,0.0016918583410848497,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,39.712299949999995,1.0,15.0,1.0,0.0020519410684008642,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,54.16191777000001,1.0,15.0,1.0,0.001861131841062822,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,48.1496335,1.0,15.0,1.0,0.0020375000984323294,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,47.13571654,1.0,15.0,1.0,0.0016111537744714455,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,38.825377329999995,1.0,15.0,1.0,0.0017376687548386705,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,35.45299875999999,1.0,15.0,1.0,0.002373916167794078,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,50.04034620999999,1.0,15.0,1.0,0.0019510838301015096,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
