agent,mdrnn_loss,mdrnn_params,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,vae_loss,vae_params,wm_agent_reward,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,1.0653007647570443,1654.0,spurious,5.0,50.22518498,1.0,10.0,1.0,0.0021460172865831414,1150.0,13.206199124145508,610.0,30.307542079999997,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1367489478167365,1654.0,spurious,5.0,46.487844800000005,1.0,10.0,1.0,0.00199308534150454,1150.0,10.752984283447265,610.0,43.64384590999999,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.2251194028293386,1654.0,spurious,5.0,46.76966512999999,1.0,10.0,1.0,0.0033395879796207554,1150.0,11.06292816619873,610.0,36.82875318,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1716969097361845,1654.0,spurious,5.0,43.51810037999999,1.0,10.0,1.0,0.0033055872822867123,1150.0,12.834674116516114,610.0,26.977538710000005,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.0965694848228904,1654.0,spurious,5.0,20.945019860000002,1.0,10.0,1.0,0.0021128152830930747,1150.0,13.034170806884765,610.0,26.803599129999995,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1563990116119385,1654.0,spurious,5.0,30.957334490000004,1.0,10.0,1.0,0.00256774373581125,1150.0,11.508494078826905,610.0,39.787251319999996,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.117862045063692,1654.0,spurious,5.0,41.61985640000001,1.0,10.0,1.0,0.0021848216155741476,1150.0,11.42210172958374,610.0,43.478270730000006,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.060809112997616,1654.0,spurious,5.0,49.49298561,1.0,10.0,1.0,0.0022844164018622705,1150.0,12.95980721282959,610.0,27.519425539999997,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1609345940982594,1654.0,spurious,5.0,38.42245585,1.0,10.0,1.0,0.002445211326708133,1150.0,9.650503651428222,610.0,34.36363635,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1144257405224969,1654.0,spurious,5.0,53.580386569999995,1.0,10.0,1.0,0.0021579705520457767,1150.0,12.803056434631348,610.0,24.311377800000006,1.0,3.0,10.0,1.0,5.0,10.0
