agent,agent_reward,mdrnn_loss,mdrnn_params,setting,swm_agent_latent_dim,swm_hidden,swm_layers,vae_loss,vae_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,24.73149818,1.1622120492598589,744.0,random,5.0,5.0,1.0,10.880163822937012,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,1.1974512400000006,1.3270514937008129,1024.0,random,5.0,5.0,1.0,16.993262341308593,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,22.560063070000005,1.3437291201423196,1304.0,random,5.0,5.0,1.0,15.069354429626465,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,7.11602437,1.1969277830684886,744.0,random,5.0,5.0,1.0,14.558277798461914,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,17.02115534,1.3190969719606287,1024.0,random,5.0,5.0,1.0,14.150809870910644,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,25.399783820000003,1.384634859421674,1304.0,random,5.0,5.0,1.0,14.158368395996094,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,21.638613010000004,1.2235816506778492,744.0,random,5.0,5.0,1.0,14.934546292114257,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,22.727024530000005,1.341689895181095,1024.0,random,5.0,5.0,1.0,14.172619982910156,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,-1.5475665699999994,1.3721021203433765,1304.0,random,5.0,5.0,1.0,16.990741525268554,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,10.615889090000001,1.2325601970448214,744.0,random,5.0,5.0,1.0,16.97359724731445,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,-4.28330022,1.3288135248072006,1024.0,random,5.0,5.0,1.0,16.96373105621338,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,20.30279786,1.3225301770602955,1304.0,random,5.0,5.0,1.0,13.918220307922363,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,15.7942362,1.27860265900107,744.0,random,5.0,5.0,1.0,14.444086882019043,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,19.7246425,1.2828914165496825,1024.0,random,5.0,5.0,1.0,14.996845675659179,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,-3.0751527199999997,1.349322046953089,1304.0,random,5.0,5.0,1.0,17.00675498352051,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,16.67482218,1.2920515901902143,744.0,random,5.0,5.0,1.0,16.206245991516113,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,26.048363329999997,1.2758700034197639,1024.0,random,5.0,5.0,1.0,14.548834880065918,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,17.52743955,1.3660549528458539,1304.0,random,5.0,5.0,1.0,17.013992338562012,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,-1.7962684399999997,1.2570998275981229,744.0,random,5.0,5.0,1.0,16.947812684631348,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,-1.7176625799999996,1.2665539432974422,1024.0,random,5.0,5.0,1.0,14.298526541137695,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,4.82959763,1.3371673583984376,1304.0,random,5.0,5.0,1.0,16.840038987731933,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,18.643434069999998,1.225694196364459,744.0,random,5.0,5.0,1.0,14.06052700958252,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,33.66905869000001,1.2958137175616096,1024.0,random,5.0,5.0,1.0,15.350110884094239,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,20.050507539999998,1.3449165933272418,1304.0,random,5.0,5.0,1.0,14.267782577514648,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,14.64463512,1.1379803825827206,744.0,random,5.0,5.0,1.0,13.057785781860352,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,23.223463309999996,1.3219750572653377,1024.0,random,5.0,5.0,1.0,13.854264559936523,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,-0.58790746,1.3509811485514922,1304.0,random,5.0,5.0,1.0,16.98537531738281,435.0,1.0,3.0,5.0,1.0,15.0,5.0
ppo,28.492670040000007,1.2620951119591208,744.0,random,5.0,5.0,1.0,14.258322370910644,265.0,1.0,3.0,5.0,1.0,5.0,5.0
ppo,10.45168619,1.2840160678414738,1024.0,random,5.0,5.0,1.0,14.930686708068848,350.0,1.0,3.0,5.0,1.0,10.0,5.0
ppo,25.8855983,1.367017089619356,1304.0,random,5.0,5.0,1.0,16.948823307800293,435.0,1.0,3.0,5.0,1.0,15.0,5.0
